Date,oil_price,Inflation Rate,uncertain_rate,election Weight,Government_Change,Party_In_Office,DXY_Close
2016/10/1,51.41380952,1.6,93,0.75,0,0,98.449997
2016/11/1,46.94227273,1.7,169,1,0,0,101.5
2016/12/1,55.02272727,2.1,115,0.75,0,0,102.389999
2017/1/1,55.71090909,2.5,135,0.6,1,1,99.510002
2017/2/1,56.096,2.7,133,0.5,0,1,101.120003
2017/3/1,52.65521739,2.4,120,0.4,0,1,100.349998
2017/4/1,53.978,2.2,122,0.3,0,1,99.050003
2017/5/1,51.37434783,1.9,104,0.2,0,1,96.919998
2017/6/1,47.65272727,1.6,99,0,0,1,95.660004
2017/7/1,49.25333333,1.7,111,0,0,1,92.860001
2017/8/1,51.92782609,1.9,109,0,0,1,92.669998
2017/9/1,55.55761905,2.2,97,0,0,1,93.080002
2017/10/1,57.53636364,2,102,0,0,1,94.550003
2017/11/1,62.83636364,2.2,94,0,0,1,93.010002
2017/12/1,64.06428571,2.1,111,0,0,1,92.120003
2018/1/1,68.88913043,2.1,124,0,0,1,89.129997
2018/2/1,65.6965,2.2,94,0,0,1,90.610001
2018/3/1,66.89181818,2.4,136,0,0,1,89.970001
2018/4/1,71.93285714,2.5,108,0,0,1,91.839996
2018/5/1,76.93434783,2.8,125,0,0,1,93.989998
2018/6/1,75.80285714,2.9,109,0,0,1,94.629997
2018/7/1,75.22909091,2.9,133,0,0,1,94.489998
2018/8/1,73.85130435,2.7,99,0,0,1,95.139999
2018/9/1,79.163,2.3,103,0,0,1,95.190002
2018/10/1,80.78347826,2.5,112,0,0,1,97.129997
2018/11/1,66.22863636,2.2,130,0,0,1,97.269997
2018/12/1,57.94809524,1.9,166,0,0,1,96.169998
2019/1/1,59.94478261,1.6,201,0,0,1,95.580002
2019/2/1,64.384,1.5,107,0,0,1,96.160004
2019/3/1,66.94190476,1.9,140,0,0,1,97.279999
2019/4/1,71.47590909,2,99,0,0,1,97.480003
2019/5/1,70.38913043,1.8,123,0,0,1,97.75
2019/6/1,63.2085,1.6,150,0,0,1,96.129997
2019/7/1,64.32217391,1.8,150,0,0,1,98.519997
2019/8/1,59.61818182,1.7,190,0,0,1,98.919998
2019/9/1,62.43095238,1.7,134,0,0,1,99.379997
2019/10/1,59.63130435,1.8,118,0,0,1,97.349998
2019/11/1,62.68666667,2.1,132,0,0,1,98.269997
2019/12/1,65.34818182,2.3,143,0,0,1,96.389999
2020/1/1,63.89869565,2.5,131,0,0,1,97.389999
2020/2/1,55.691,2.3,161,0,0,1,98.129997
2020/3/1,33.94727273,1.5,283,0,0,1,99.050003
2020/4/1,26.84863636,0.3,269,0,0,1,99.019997
2020/5/1,32.42238095,0.1,350,0,0,1,98.339996
2020/6/1,40.86045455,0.6,231,0,0,1,97.389999
2020/7/1,43.29565217,1,306,0,0,1,93.489998
2020/8/1,45.08142857,1.3,224,0.25,0,1,92.139999
2020/9/1,41.92681818,1.4,218,0.5,0,1,93.889999
2020/10/1,41.60681818,1.2,249,0.75,0,1,94.040001
2020/11/1,44.05,1.2,247,1,0,1,91.870003
2020/12/1,50.37695652,1.4,246,0.75,0,1,89.940002
2021/1/1,55.2247619,1.4,208,0.6,0,0,90.580002
2021/2/1,62.3625,1.7,152,0.5,0,0,90.93
2021/3/1,65.79608696,2.6,140,0.4,0,0,93.230003
2021/4/1,65.53181818,4.2,125,0.3,0,0,91.279999
2021/5/1,68.3752381,5,147,0.2,0,0,89.839996
2021/6/1,73.51272727,5.4,134,0,0,0,92.440002
2021/7/1,74.40318182,5.4,153,0,0,0,92.169998
2021/8/1,70.58818182,5.3,134,0,0,0,92.629997
2021/9/1,74.74954545,5.4,142,0,0,0,94.25
2021/10/1,83.8652381,6.2,122,0,0,0,94.120003
2021/11/1,80.89045455,6.8,151,0,0,0,95.989998
2021/12/1,74.67826087,7,166,0,0,0,95.669998
2022/1/1,85.62238095,7.5,139,0,0,0,96.540001
2022/2/1,94.267,7.9,138,0,0,0,96.709999
2022/3/1,112.44,8.5,190,0,0,0,98.309998
2022/4/1,106.1557143,8.3,155,0,0,0,102.959999
2022/5/1,112.1136364,8.6,168,0,0,0,101.75
2022/6/1,117.6927273,9.1,146,0,0,0,104.690002
2022/7/1,105.2528571,8.5,187,0,0,0,105.900002
2022/8/1,97.64304348,8.3,163,0,0,0,108.699997
2022/9/1,90.60818182,8.2,174,0,0,0,112.120003
2022/10/1,93.71857143,7.7,177,0,0,0,111.529999
2022/11/1,90.93863636,7.1,172,0,0,0,105.949997
2022/12/1,81.50318182,6.5,136,0,0,0,103.519997
2023/1/1,84.08181818,6.4,143,0,0,0,102.099998
2023/2/1,83.6325,6,124,0,0,0,104.870003
2023/3/1,79.25652174,5,152,0,0,0,102.510002
2023/4/1,83.536,4.9,131,0,0,0,101.669998
2023/5/1,75.7473913,4,160,0,0,0,104.32
2023/6/1,74.975,3,145,0,0,0,102.910004
2023/7/1,80.10904762,3.2,118,0,0,0,101.860001
2023/8/1,85.16826087,3.7,88,0,0,0,103.620003
2023/9/1,92.67333333,3.7,112,0,0,0,106.169998
2023/10/1,88.94772727,3.2,122,0,0,0,106.660004
2023/11/1,82.18636364,3.1,129,0,0,0,103.5
2023/12/1,77.54095238,3.4,110,0,0,0,101.330002
2024/1/1,79.11,3.1,124,0,0,0,103.269997
2024/2/1,81.79571429,3.2,89,0,0,0,104.160004
2024/3/1,84.96142857,3.5,95,0,0,0,104.550003
2024/4/1,88.97454545,3.4,109,0,0,0,106.220001
